Vessel	branches from
ID	SC 'connected to' some %
VCCF:1000331	VCCF:1000322
VCCF:1000332	VCCF:1000322
VCCF:1000333	VCCF:1000332
VCCF:1000334	VCCF:1000322
VCCF:1000335	VCCF:1000322
VCCF:1000336	VCCF:1000322
VCCF:1000320	VCCF:1000316
VCCF:1000337	VCCF:1000316
VCCF:1000338	VCCF:1000337
VCCF:1000339	VCCF:1000337
VCCF:1000340	VCCF:1000337
VCCF:1000341	VCCF:1000316
VCCF:1000342	VCCF:1000341
VCCF:1000343	VCCF:1000316
VCCF:1000344	VCCF:1000343
VCCF:1000345	VCCF:1000316
VCCF:1000346	VCCF:1000345
VCCF:1000347	VCCF:1000346
VCCF:1000348	VCCF:1000347
VCCF:1000349	VCCF:1000316
VCCF:1000350	VCCF:1000315
VCCF:1000351	VCCF:1000350
VCCF:1000352	VCCF:1000351
VCCF:1000353	VCCF:1000351
VCCF:1000354	VCCF:1000350
VCCF:1000355	VCCF:1000350
VCCF:1000356	VCCF:1000355
VCCF:1000357	VCCF:1000355
VCCF:1000358	VCCF:1000160
VCCF:1000359	VCCF:1000358
VCCF:1000360	VCCF:1000359
VCCF:1000361	VCCF:1000360
VCCF:1000362	VCCF:1000361
VCCF:1000363	VCCF:1000362
VCCF:1000364	VCCF:1000363
VCCF:1000365	VCCF:1000364
VCCF:1000366	VCCF:1000364
VCCF:1000367	VCCF:1000366
VCCF:1000368	VCCF:1000367
VCCF:1000369	VCCF:1000363
VCCF:1000370	VCCF:1000362
VCCF:1000369	VCCF:1000370
VCCF:1000371	VCCF:1000360
VCCF:1000372	VCCF:1000359
VCCF:1000373	VCCF:1000358
VCCF:1000374	VCCF:1000358
VCCF:1000375	VCCF:1000160
VCCF:1000376	VCCF:1000375
VCCF:1000377	VCCF:1000160
VCCF:1000378	VCCF:1000160
VCCF:1000379	VCCF:1000160
VCCF:1000380	VCCF:1000160
VCCF:1000381	VCCF:1000160
VCCF:1000382	VCCF:1000160
VCCF:1000383	VCCF:1000160
VCCF:1000384	VCCF:1000160
VCCF:1000385	VCCF:1000160
VCCF:1000386	VCCF:1000160
VCCF:1000387	VCCF:1000160
VCCF:1000388	VCCF:1000160
VCCF:1000389	VCCF:1000388
VCCF:1000390	VCCF:1000160
VCCF:1000391	VCCF:1000160
VCCF:1000392	VCCF:1000160
VCCF:1000393	VCCF:1000160
VCCF:1000394	VCCF:1000393
VCCF:1000395	VCCF:1000393
VCCF:1000396	VCCF:1000393
VCCF:1000397	VCCF:1000393
VCCF:1000398	VCCF:1000393
VCCF:1000399	VCCF:1000393
VCCF:1000400	VCCF:1000399
VCCF:1000401	VCCF:1000400
VCCF:1000402	VCCF:1000401
VCCF:1000403	VCCF:1000402
VCCF:1000404	VCCF:1000403
VCCF:1000405	VCCF:1000404
VCCF:1000406	VCCF:1000405
VCCF:1000407	VCCF:1000405
VCCF:1000408	VCCF:1000393
VCCF:1000409	VCCF:1000393
VCCF:1000410	VCCF:1000160
VCCF:1000411	VCCF:1000160
VCCF:1000412	VCCF:1000160
VCCF:1000413	VCCF:1000160
VCCF:1000414	VCCF:1000160
VCCF:1000415	VCCF:1000160
VCCF:1000416	VCCF:1000160
VCCF:1000417	VCCF:1000160
VCCF:1000418	VCCF:1000160
VCCF:1000419	VCCF:1000160
VCCF:1000420	VCCF:1000160
VCCF:1000421	VCCF:1000160
VCCF:1000422	VCCF:1000421
VCCF:1000423	VCCF:1000422
VCCF:1000424	VCCF:1000421
VCCF:1000425	VCCF:1000424
VCCF:1000426	VCCF:1000425
VCCF:1000427	VCCF:1000425
VCCF:1000428	VCCF:1000424
VCCF:1000429	VCCF:1000428
VCCF:1000430	VCCF:1000421
VCCF:1000431	VCCF:1000430
VCCF:1000432	VCCF:1000430
VCCF:1000433	VCCF:1000421
VCCF:1000434	VCCF:1000433
VCCF:1000435	VCCF:1000434
VCCF:1000436	VCCF:1000421
VCCF:1000437	VCCF:1000421
VCCF:1000438	VCCF:1000160
VCCF:1000439	VCCF:1000159
VCCF:1000440	VCCF:1000159
VCCF:1000441	VCCF:1000159
VCCF:1000442	VCCF:1000159
VCCF:1000443	VCCF:1000159
VCCF:1000444	VCCF:1000159
VCCF:1000445	VCCF:1000159
VCCF:1000446	VCCF:1000159
VCCF:1000447	VCCF:1000159
VCCF:1000448	VCCF:1000159
VCCF:1000449	VCCF:1000159
VCCF:1000450	VCCF:1000159
VCCF:1000451	VCCF:1000159
VCCF:1000452	VCCF:1000159
VCCF:1000453	VCCF:1000159
VCCF:1000454	VCCF:1000159
VCCF:1000389	VCCF:1000454
VCCF:1000455	VCCF:1000159
VCCF:1000456	VCCF:1000159
VCCF:1000457	VCCF:1000159
VCCF:1000458	VCCF:1000159
VCCF:1000459	VCCF:1000159
VCCF:1000460	VCCF:1000159
VCCF:1000461	VCCF:1000159
VCCF:1000462	VCCF:1000159
VCCF:1000463	VCCF:1000159
VCCF:1000464	VCCF:1000159
VCCF:1000465	VCCF:1000159
VCCF:1000466	VCCF:1000159
VCCF:1000467	VCCF:1000159
VCCF:1000468	VCCF:1000159
VCCF:1000469	VCCF:1000159
VCCF:1000470	VCCF:1000159
VCCF:1000471	VCCF:1000012
VCCF:1000472	VCCF:1000012
VCCF:1000473	VCCF:1000012
VCCF:1000474	VCCF:1000473
VCCF:1000475	VCCF:1000474
VCCF:1000476	VCCF:1000474
VCCF:1000477	VCCF:1000476
VCCF:1000478	VCCF:1000477
VCCF:1000479	VCCF:1000477
VCCF:1000480	VCCF:1000476
VCCF:1000481	VCCF:1000476
VCCF:1000482	VCCF:1000481
VCCF:1000483	VCCF:1000482
VCCF:1000484	VCCF:1000482
VCCF:1000485	VCCF:1000482
VCCF:1000486	VCCF:1000481
VCCF:1000487	VCCF:1000486
VCCF:1000488	VCCF:1000487
VCCF:1000489	VCCF:1000488
VCCF:1000490	VCCF:1000488
VCCF:1000491	VCCF:1000487
VCCF:1000492	VCCF:1000491
VCCF:1000493	VCCF:1000491
VCCF:1000494	VCCF:1000487
VCCF:1000495	VCCF:1000494
VCCF:1000496	VCCF:1000494
VCCF:1000497	VCCF:1000481
VCCF:1000498	VCCF:1000497
VCCF:1000499	VCCF:1000497
VCCF:1000500	VCCF:1000481
VCCF:1000501	VCCF:1000500
VCCF:1000502	VCCF:1000481
VCCF:1000503	VCCF:1000502
VCCF:1000504	VCCF:1000502
VCCF:1000505	VCCF:1000481
VCCF:1000506	VCCF:1000481
VCCF:1000507	VCCF:1000506
VCCF:1000508	VCCF:1000507
VCCF:1000509	VCCF:1000481
VCCF:1000510	VCCF:1000476
VCCF:1000511	VCCF:1000476
VCCF:1000512	VCCF:1000511
VCCF:1000513	VCCF:1000511
VCCF:1000514	VCCF:1000513
VCCF:1000515	VCCF:1000513
VCCF:1000516	VCCF:1000511
VCCF:1000517	VCCF:1000511
VCCF:1000487	VCCF:1000517
VCCF:1000518	VCCF:1000517
VCCF:1000519	VCCF:1000511
VCCF:1000520	VCCF:1000511
VCCF:1000521	VCCF:1000511
VCCF:1000522	VCCF:1000511
VCCF:1000522	VCCF:1000511
VCCF:1000523	VCCF:1000522
VCCF:1000524	VCCF:1000523
VCCF:1000525	VCCF:1000522
VCCF:1000526	VCCF:1000525
VCCF:1000527	VCCF:1000526
VCCF:1000528	VCCF:1000525
VCCF:1000529	VCCF:1000528
VCCF:1000530	VCCF:1000522
VCCF:1000531	VCCF:1000530
VCCF:1000532	VCCF:1000522
VCCF:1000533	VCCF:1000532
VCCF:1000534	VCCF:1000533
VCCF:1000535	VCCF:1000532
VCCF:1000536	VCCF:1000535
VCCF:1000537	VCCF:1000522
VCCF:1000538	VCCF:1000537
VCCF:1000539	VCCF:1000538
VCCF:1000540	VCCF:1000537
VCCF:1000541	VCCF:1000540
VCCF:1000542	VCCF:1000474
VCCF:1000543	VCCF:1000474
VCCF:1000544	VCCF:1000474
VCCF:1000545	VCCF:1000544
VCCF:1000546	VCCF:1000544
VCCF:1000547	VCCF:1000474
VCCF:1000548	VCCF:1000474
VCCF:1000549	VCCF:1000548
VCCF:1000550	VCCF:1000548
VCCF:1000551	VCCF:1000548
VCCF:1000552	VCCF:1000548
VCCF:1000553	VCCF:1000473
VCCF:1000554	VCCF:1000553
VCCF:1000389	VCCF:1000554
VCCF:1000555	VCCF:1000553
VCCF:1000556	VCCF:1000555
VCCF:1000557	VCCF:1000555
VCCF:1000558	VCCF:1000473
VCCF:1000559	VCCF:1000473
VCCF:1000560	VCCF:1000559
VCCF:1000561	VCCF:1000559
VCCF:1000562	VCCF:1000559
VCCF:1000563	VCCF:1000559
VCCF:1000564	VCCF:1000559
VCCF:1000565	VCCF:1000559
VCCF:1000566	VCCF:1000559
VCCF:1000567	VCCF:1000559
